d,1,g,3,h,2,draw
c,1,e,2,d,3,draw
b,1,d,7,c,7,draw
d,2,g,1,g,2,draw
d,4,g,6,f,6,draw
c,1,b,5,a,5,draw
d,3,f,6,f,7,draw
c,1,g,2,a,1,draw
d,2,g,2,f,3,draw
b,1,h,3,g,2,draw
b,1,g,5,f,6,draw
d,3,h,4,h,3,draw
d,1,g,3,h,4,draw
d,4,e,1,d,1,draw
a,1,h,4,g,4,draw
c,2,h,3,g,3,draw
a,1,h,6,g,6,draw
d,2,h,3,g,3,draw
c,1,g,6,f,5,draw
b,2,g,4,f,4,draw
c,1,a,3,a,1,zero
c,2,a,6,a,2,zero
c,2,a,8,a,1,zero
c,2,a,8,a,2,zero
c,2,a,5,a,2,zero
c,2,a,7,a,2,zero
c,1,a,4,a,1,zero
c,1,a,3,a,1,zero
d,3,f,1,d,1,zero
d,3,b,1,d,1,zero
c,2,d,4,a,1,one
c,2,d,7,a,1,one
d,3,f,4,e,1,one
c,3,a,8,b,1,one
c,2,h,4,a,3,one
d,3,b,8,c,1,one
c,1,h,3,a,2,one
c,3,a,5,b,1,one
c,2,e,7,a,1,one
c,1,e,3,a,2,one
c,2,d,6,a,1,one
c,2,b,3,a,2,one
c,3,e,3,d,1,one
c,2,b,4,a,1,one
c,2,d,4,a,3,one
c,2,f,4,a,1,one
c,2,d,7,a,1,one
c,2,f,7,a,1,one
c,3,e,6,d,1,one
c,2,h,3,a,2,one
c,3,g,1,b,1,two
c,3,e,4,c,1,two
c,3,g,6,b,1,two
c,3,f,6,c,1,two
c,3,b,5,c,1,two
c,3,h,8,b,1,two
c,3,h,6,a,1,two
c,2,d,7,a,2,two
c,2,g,1,a,2,two
c,2,h,5,a,2,two
c,1,h,1,a,1,two
c,2,f,2,a,2,two
c,3,f,4,b,1,two
d,2,b,3,a,1,two
c,3,g,8,b,1,two
d,3,a,4,d,1,two
c,3,h,5,c,1,two
d,3,g,8,d,1,two
c,1,h,7,a,1,two
c,1,c,3,a,1,two
c,3,h,3,c,1,three
c,3,f,2,a,1,three
d,2,f,3,b,2,three
d,2,b,4,a,1,three
c,3,g,2,a,1,three
c,3,e,2,c,1,three
d,1,g,2,b,1,three
c,3,d,3,c,1,three
c,3,c,8,b,1,three
c,3,c,7,b,1,three
c,3,f,3,c,1,three
d,3,h,2,c,1,three
d,3,b,8,b,1,three
c,1,b,4,a,1,three
c,3,c,7,b,1,three
d,2,b,7,a,1,three
d,2,b,5,a,1,three
d,3,b,8,b,1,three
c,3,g,3,c,1,three
d,2,b,3,b,1,three
d,3,h,3,b,1,four
d,1,e,2,a,1,four
d,3,e,3,d,1,four
d,1,d,3,b,2,four
d,2,f,7,a,1,four
d,2,e,7,a,1,four
d,3,b,4,b,2,four
d,2,g,6,a,1,four
d,2,d,4,b,3,four
d,2,g,8,b,1,four
d,1,d,2,a,1,four
d,2,d,6,a,1,four
d,3,a,2,e,1,four
d,3,g,2,b,1,four
d,3,d,2,c,1,four
d,3,d,2,g,1,four
d,3,e,2,d,1,four
d,2,d,8,a,1,four
d,2,e,2,b,1,four
d,3,b,5,a,2,four
d,3,d,6,c,1,five
d,2,h,4,a,2,five
d,3,d,7,b,1,five
d,2,d,8,a,2,five
d,1,a,3,h,2,five
d,3,e,2,e,1,five
d,3,c,7,b,1,five
c,1,f,4,a,2,five
d,1,h,4,a,2,five
d,4,d,2,f,1,five
d,3,a,2,f,1,five
d,1,e,4,a,3,five
d,2,c,3,h,2,five
d,2,g,1,b,2,five
d,3,b,2,f,1,five
d,1,e,4,b,1,five
d,2,g,7,a,2,five
d,3,a,3,b,1,five
d,3,b,1,a,6,five
d,1,b,3,f,2,five
d,3,g,3,h,1,six
d,2,c,3,g,1,six
d,2,d,7,f,1,six
d,3,f,4,f,1,six
d,1,b,7,g,1,six
d,3,a,5,a,2,six
d,3,b,5,h,1,six
d,2,a,1,g,1,six
d,1,d,4,h,1,six
d,1,a,4,h,1,six
d,3,h,1,a,1,six
d,2,b,6,g,1,six
c,2,b,6,a,2,six
d,3,a,4,a,2,six
d,1,c,3,f,1,six
d,2,d,5,h,1,six
d,3,c,4,a,3,six
d,3,g,5,b,4,six
d,2,e,8,h,1,six
d,3,c,2,a,2,six
a,1,a,2,g,1,seven
d,2,f,5,a,3,seven
d,3,g,7,a,8,seven
c,1,b,1,a,8,seven
b,1,b,3,a,6,seven
d,4,g,6,h,3,seven
d,4,g,3,h,5,seven
d,3,b,6,a,4,seven
c,2,f,3,h,2,seven
d,3,h,5,h,1,seven
a,1,c,2,f,1,seven
d,2,f,6,h,1,seven
c,2,g,5,a,4,seven
c,1,h,2,e,1,seven
d,1,g,3,h,8,seven
d,3,g,4,h,2,seven
d,3,g,4,h,6,seven
c,2,b,8,a,6,seven
c,1,c,3,g,2,seven
d,1,b,6,b,1,seven
d,3,c,4,b,5,eight
d,3,d,5,h,2,eight
c,2,b,1,f,1,eight
d,4,a,4,g,1,eight
c,3,h,3,f,1,eight
d,1,f,1,a,2,eight
d,4,h,1,c,2,eight
d,4,f,5,b,1,eight
d,4,e,4,f,1,eight
d,3,a,5,h,4,eight
c,1,b,8,a,6,eight
c,2,c,5,b,8,eight
c,1,b,5,a,3,eight
d,3,c,2,f,2,eight
d,2,a,8,h,2,eight
b,2,c,3,h,2,eight
d,2,h,4,f,2,eight
d,4,g,8,e,1,eight
d,2,b,5,h,2,eight
c,2,b,7,a,3,eight
c,3,g,3,g,1,eight
d,3,e,4,f,2,eight
d,3,d,4,c,7,eight
d,4,b,1,h,2,eight
c,2,d,3,f,1,eight
c,3,a,2,h,2,nine
c,3,g,5,h,3,nine
c,2,g,5,h,8,nine
c,1,g,6,h,2,nine
d,1,c,4,b,7,nine
b,2,d,5,g,1,nine
c,2,a,1,h,2,nine
d,4,c,8,e,1,nine
d,3,h,1,f,1,nine
c,2,d,1,e,1,nine
c,1,b,5,h,2,nine
d,3,e,6,h,3,nine
d,4,f,8,g,6,nine
c,1,a,5,f,1,nine
b,2,f,3,h,1,nine
d,4,b,6,e,1,nine
d,4,e,8,f,2,nine
d,3,c,5,g,4,nine
c,3,c,7,h,2,nine
d,4,d,8,g,1,nine
d,3,d,7,a,7,nine
b,1,b,4,g,1,nine
d,4,e,8,g,2,nine
c,2,d,5,f,1,nine
d,4,c,6,e,1,nine
